patch_number,lab_l,lab_a,lab_b,weight,white
A1,41.71145276271581,13.646744815315303,13.446490973365421,1,D50
A2,64.26955492099485,36.65019952559023,61.348709545637135,1,
A3,29.69961868028374,16.187895417059313,-50.08506964511953,1,
A4,100.0,0.00188500914111156,-1.1325589206708564,1,
B1,66.64265946784997,18.352366448877444,16.424860596173495,1,
B2,41.6910371607708,11.336760364847542,-47.08149953157845,1,
B3,56.506621242521604,-38.63094409309292,30.83986071397161,1,
B4,81.38681053298139,-0.027086830649614146,-2.801498547119019,1,
C1,46.08649738908791,-2.888872779053031,-24.95117677725307,1,
C2,49.57151452303596,45.345479775761866,13.072164266122465,1,
C3,40.47740170449134,47.59024272940379,24.063602902244163,1,
C4,63.48942355603208,-0.1394939279412144,-3.1245419932897978,1,
D1,40.929154643100944,-11.555224939819642,20.18727820562811,1,
D2,26.221384188821396,20.660075901618168,-20.42771210223603,1,
D3,73.97909526679506,2.691610054257998,72.86663039433164,1,
D4,46.531252942022284,0.4497642368778698,-2.2317104624805184,1,
E1,47.36896433917981,9.347949467099548,-23.977693221452647,1,
E2,60.782454082223666,-19.89667421126906,47.38543405350827,1,
E3,43.99115452298396,41.34409908823111,-14.956606577068033,1,
E4,29.26872651027569,-0.07689925892689908,-3.0599974886434733,1,
F1,54.59933535150995,-25.0258263564444,-3.872667711351374,1,
F2,53.27222733130658,15.56677174178528,52.81237366322487,1,
F3,37.86383546581109,-20.498171162755597,-24.834833554717385,1,
F4,13.960233568483392,0.3065583584842546,-2.6927317807633355,1,
